1,Complete,Hoàn thành
2,Creat,Tạo ra
3,Spending,Chi phí
4,Technology,Công nghệ
5,Delivery,Việc phân phát
6,Legal advisor,Coố vấn pháp lý
7,Explanation,Lời giải thích
8,Speech,Bài phát biểu
9,Distribution,Việc phân phối
10,Translation,Sự phiên dịch
11,Plant,Nhà máy
12,Semester,Học kỳ
13,Event,Sự kiện
14,Advise,Khuyên
15,Encouragement,Sự khuyến khích
16,Charge,Tính phí
17,Evaluate,Đánh giá
18,Attractive,Quyến rũ
19,Idea,Ý tưởng
20,Introduce,Giới thiệu
21,Oversea,Nước ngoài
22,Exercise,Tập thể dục
23,Department,Bộ phận, phòng
24,Trainee,Người được đào tạo
25,Apply,Nộp đơn, áp dụng
26,Method,Phương pháp
27,Researcher,Nhà nghiên cứu
28,Budget,Ngân sách
29,Decide,Quyết định
30,Provide,Cung cấp
31,Physician,Bác sỹ
32,Choice,Sự lựa chọn
33,Implement,Thi hành
34,Review,Xem lại
35,Supervisor,Người giám sát
36,Thorough,Kỹ lưỡng
37,Postpone,Trì hoãn
38,Responsibility for,Trách nhiệm
39,Loan,Vay mượn
40,During,Trong suốt
41,Recovery,Sự hồi phục
42,Reference letter,Thư giới thiệu
43,Post,Đăng
44,Join,Tham gia
45,Encourage,Khuyến khích
46,Persuasive,Có tính thuyết phục
47,Counselor,Cố vấn
48,Inspect,Kiểm tra
49,Approve,Đồng ý
50,Accommodate,Cung cấp chỗ ở
51,Head office,Vaăn phòng chính
52,Meal,Bữa ăn
53,Final,Cuối cùng
54,Feel free,Đừng ngại để
55,Promotion,Thăng chức, khuyến mãi
56,Supervision,Sự giám sá
57,Arrive,Đến
58,Through,Thông qua
59,Distributor,Nhà phân phối
60,Return,Trở lại, gửi trả lại
61,Experience,Kinh nghiệm
62,Exhibition,Cuộc triển lãm
63,Workload,Khối lượng công việc
64,In charge of,Phụ trách
65,Propose,Lời đề nghị
66,Industry,Công nghiệp
67,Extensive,Mở rộng
68,Register,Đăng ký
69,Press conference,Họp báo
70,Signature,Chuữ ký
71,Lower,Hạ thấp
72,Delay,Trì hoãn
73,Staff,Nhân sự
74,Interested in,Quan tâm, thích thú
75,Express mail,Thư chuyển phát nhanh
76,Invitation,Lời mời
77,Bonus,Thưởng
78,Response,Sự phản hồi
79,Orphanage,Trại trẻ mồ côi
80,Finish,Hoàn thàn
81,Check,Kiểm tra, ngân phiếu
82,News,Tin tức
83,Employment,Việc làm
84,Growth,Tăng trưởng
85,Identification,Cmnd
86,Machine,Máy móc
87,Construct,Xây dựng
88,Recession,Suy thoái
89,Handbook,Sổ tay
90,Donate,Quyên góp
91,Trip,Chuyến đi
92,Recruit,Tuyển dụng
93,Support,Hỗ trợ
94,Add,Thêm
95,Orientation,Buổi học định hướng cho nhân viên mới
96,Subscription rate,Giá đk mua báo dài hạn
97,Sales,Việc kd
98,Job openings,Cơ hội nghề nghiệp
99,Avoid,Ngăn ngừa
100,Need,Nhu cầu
101,Interest,Lợi nhuận
102,Recently,Gần đây
103,Elect,Bầu cử
104,Request,Yêu cầu
105,Survey,Khảo sát
106,Annual,Hàng năm
107,Ship,Giao hàng
108,Content,Nội dung
109,Renew,Làm mới
110,Accounting,Kế toán
111,Conclusion,Kết luận
112,Attract,Thu hút
113,Attendance record,Bảng điểm danh
114,Global market,Thị trường toàn cầu
115,Cause,Gây ra, nguyên nhân
116,Insert,Chèn
117,Instruction,Sự hướng dẫn
118,Additional,Thêm, bổ sung
119,Account,Tài khoản
120,Airline,Hàng không
121,Stage,Giai đoạn, sân khấu
122,Attendance,Sự tham dự
123,Shipping charge,Phí chở hàng
124,Order,Dđặt hàng, thứ tự
125,Absence,Vắng mặt
126,Considerable,Đáng kể
127,Apology,Lời xin lỗi
128,Establish,Hình thành
129,Construction,Sự xây dựng công trình
130,Strategy,Chiến lược
131,Due to,Do
132,Assembly line,Dây chuyền lắp ráp
133,Hurry,Vội
134,Refuse,Tưừ chối
135,Government,Chính phủ
136,Include,Bao gồm
137,Record,Ghi lại
138,Schedule,Lịch trình
139,Award,Phần thưởng
140,Profit,Lợi nhuận
141,Financial,Taài chính
142,Welcome,Chào mừng
143,Supervise,Giám sát
144,Reduce,Giảm
145,Health,Sức khỏe
146,Item,Món hàng
147,Partnership,Mối quan hệ
148,Storm,Bão
149,Productivity,Năng suất
150,Product,Sản phẩm
151,Participate,Tham gia
152,Quarter,Quý
153,Distribute,Phân phối, gửi
154,Impressive,Ấn tượng
155,Indicate,Ám chỉ, xác nhận
156,Hold,Tổ chức
157,Lack of,Sự thiếu hụt
158,Recommend,Giới thiệu
159,Criticize,Phê bình, đánh giá
160,Damage,Tổn hại
161,Branch,Chi nhánh
162,Client,Khách hàng
163,Inspector,Thanh tra viên
164,Stock,Kho
165,Receive,Nhận
166,City council,Hội đồng thành phố
167,Museum,Viện bảo tàng
168,Policy,Chính sách
169,Explain,Giải thích
170,Deadline,Hạn chót
171,Vary,Đa dạng
172,Partner,Đối tác
173,Position,Viị trí
174,Benefit,Lợi ích
175,Present,Trình, món quà, hiện tại
176,Transfer,Chuyển, chuyển công tác
177,Along with,Cùng với
178,Standard,Tiêu chuẩn
179,Implementation,Việc thi hành
180,Launch,Thực hiện
181,Provider,Nhà cung cấp
182,Notify,Thông báo
183,Style,Phong cách
184,President,Chủ tịch
185,Wonderful,Tuyệt vời
186,Part,Phần
187,Serveral,Một vài
188,Certain conditions,Điều kiện cụ thể
189,Performance,Buổi trình diễn
190,Fair,Hội chợ
191,Accident,Tai nạn
192,Leave,Rời khỏi, sự cho phép
193,Right,Quyền
194,Creative,Sáng tạo
195,Become,Trở nên
196,Hire,Thuê, tuyển
197,Identify,Nhận dạng
198,Competitor,Đối thủ
199,Suggestion,Sự gợi ý
200,Prevent,Ngăn chặn
201,Material,Vật liệu, tài liệu
202,Long-term,Dài hạn
203,Center,Trung tâm
204,Economic trend,Xu hướng kinh tế
205,Widen,Mở rộng
206,Regularly,Thường xuyên
207,Participant,Người tham dự
208,Scholarship,Học bổng
209,Advisor,Nhân viên tư vấn
210,Upgrade,Nâng cấp
211,Impossible,Không thể
212,Lost item,Đồ mất
213,Convenience,Sự thuận tiện
214,Receipt,Hóa đơn
215,Personnel office,Phoòng ns
216,Blueprint,Bản thiết kế
217,Employ,Thuê
218,Substantially,1 cách đáng kể
219,Variety,Sự đa dạng
220,Notice,Thông báo
221,Economic slump,Khủng hoảng kinh tế
222,Graduate,Tốt nghiệp
223,Admission,Vé vào cổng
224,Effort,Nỗ lực
225,Meet,Đáp ứng
226,Resignation,Sự từ chức
227,Interest rate,Lãi suất
228,Equipment,Trang thiết bị
229,Package,Gói hàng
230,Reject,Từ chối
231,Compete,Cạnh tranh
232,Notification,Sự thông báo
233,Expand,Mở rộng
234,Formal,Trang trọng
235,Advice,Lời khuyên
236,Attendee,Người tham dự
237,Discuss,Thảo luận
238,Seek,Tìm kiếm
239,Comprehensive,Toàn diện
240,Official,Chính thức
241,Complaint,Lời phàn nàn
242,Anniversary,Lễ kỷ niệm
243,Guideline,Hướng dẫn
244,Agreement,Sự đồng ý, hợp đồng
245,Defective,Lỗi
246,Applicant,Người nộp đơn
247,Popular,Phổ biến
248,Accept,Chấp nhận
249,Pay,Thanh toán
250,Candidate,Ứng cử viên
251,Promote,Thúc đẩy, quảng cáo
252,Message,Tin nhắn, tín hiệu
253,Committee,Ủy ban
254,Seminar,Hội thảo
255,Tourist,Khách du lịch
256,Deposit,Đặt cọc
257,Consult,Tư vấn
258,Consider,Cân nhắc
259,Detail,Chi tiết
260,Conference,Hội nghị
261,Requirement,Sự yêu cầu
262,Production,Việc sản xuất
263,Prior to,Trước (=before)
264,Choose,Chọn
265,Law,Luật
266,Produce,Sản xuất
267,Figure,Con số, số liệu
268,Citizen,Công dân
269,Constructive,Mang tính xd
270,Feedback,Phải hồi
271,Digital,Kỹ thuật số
272,Consistently,Trước sau như 1, nhất quán
273,Recover,Hồi phục
274,Deliver,Phân phát
275,Intense,Dữ dội
276,Safety,Sự anh toàn
